event_id,timestamp_utc,evidence_source,observed_action,analytical_interpretation,event_label,incident_id
VPN-00982,2026-06-05T22:38:00Z,VPN/IAM,SUCCESS vendor session; MFA=FAILED; zone=OT-ZONE; new_device=YES,Remote access evidence is inconsistent with the normal baseline because the session is linked to off-hours/new-device or failed-MFA indicators.,SUSPICIOUS,INC-T21-001
VPN-00877,2026-06-05T22:39:00Z,VPN/IAM,SUCCESS vendor session; MFA=FAILED; zone=OT-ZONE; new_device=YES,Remote access evidence is inconsistent with the normal baseline because the session is linked to off-hours/new-device or failed-MFA indicators.,SUSPICIOUS,INC-T21-001
EDR-00572,2026-06-05T22:42:00Z,Endpoint,SUSPICIOUS_PROCESS; process=remote_admin_tool; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
NET-01570,2026-06-05T22:42:00Z,Network,UNUSUAL_OT_CONNECTION; device=DEV0099; bytes_out=6371623.0; dst_port=22.0,Network evidence shows unusual OT/remote-administration connections and/or large outbound transfers from the affected device.,SUSPICIOUS,INC-T21-001
EDR-00110,2026-06-05T22:43:00Z,Endpoint,NEW_REMOTE_TOOL; process=powershell_sim; severity=HIGH,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
EDR-00824,2026-06-05T22:43:00Z,Endpoint,SUSPICIOUS_PROCESS; process=credential_helper_sim; severity=HIGH,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
EDR-00072,2026-06-05T22:44:00Z,Endpoint,SUSPICIOUS_PROCESS; process=plc_tool; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
OT-INC-001-01,2026-06-05T22:46:00Z,OT/SCADA,STATUS_READ; asset=CRANE03; state=RUNNING; sequence_valid=YES,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,INCIDENT,INC-T21-001
EDR-01183,2026-06-05T22:46:00Z,Endpoint,SUSPICIOUS_PROCESS; process=powershell_sim; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
EDR-00280,2026-06-05T22:47:00Z,Endpoint,SUSPICIOUS_PROCESS; process=remote_admin_tool; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
OT-INC-001-02,2026-06-05T22:47:00Z,OT/SCADA,PLC_MODE_CHANGE; asset=CRANE03; state=ABNORMAL; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,INCIDENT,INC-T21-001
VPN-01723,2026-06-05T22:47:00Z,VPN/IAM,SUCCESS vendor session; MFA=NO; zone=YARD-B; new_device=YES,Remote access evidence is inconsistent with the normal baseline because the session is linked to off-hours/new-device or failed-MFA indicators.,SUSPICIOUS,INC-T21-001
OT-INC-001-03,2026-06-05T22:48:00Z,OT/SCADA,UNAUTHORIZED_COMMAND; asset=CRANE03; state=DEGRADED; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,INCIDENT,INC-T21-001
EDR-00991,2026-06-05T22:48:00Z,Endpoint,SUSPICIOUS_PROCESS; process=powershell_sim; severity=HIGH,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
EDR-00436,2026-06-05T22:48:00Z,Endpoint,UNUSUAL_PARENT_PROCESS; process=credential_helper_sim; severity=MEDIUM,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
NET-02026,2026-06-05T22:48:00Z,Network,REMOTE_ADMIN_ACTIVITY; device=DEV0099; bytes_out=1800333.0; dst_port=22.0,Network evidence shows unusual OT/remote-administration connections and/or large outbound transfers from the affected device.,SUSPICIOUS,INC-T21-001
PHY-INC-001,2026-06-05T22:49:00Z,Physical access,GRANTED physical access; badge=BADGE-0014; zone=OT-ZONE; direction=IN,Physical access evidence places a vendor badge in the restricted OT zone during the incident window.,INCIDENT,INC-T21-001
VPN-00129,2026-06-05T22:49:00Z,VPN/IAM,SUCCESS vendor session; MFA=FAILED; zone=GATE-A; new_device=YES,Remote access evidence is inconsistent with the normal baseline because the session is linked to off-hours/new-device or failed-MFA indicators.,SUSPICIOUS,INC-T21-001
EDR-01161,2026-06-05T22:49:00Z,Endpoint,UNUSUAL_PARENT_PROCESS; process=powershell_sim; severity=MEDIUM,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
EDR-00053,2026-06-05T22:49:00Z,Endpoint,NEW_REMOTE_TOOL; process=remote_admin_tool; severity=HIGH,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
OT-INC-001-04,2026-06-05T22:49:00Z,OT/SCADA,EMERGENCY_STOP; asset=CRANE03; state=SAFE_STOP; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,INCIDENT,INC-T21-001
OT-00283,2026-06-05T22:49:07Z,OT/SCADA,REPEATED_COMMAND; asset=CRANE03; state=SAFE_STOP; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,SUSPICIOUS,INC-T21-001
OT-01510,2026-06-05T22:49:12Z,OT/SCADA,PLC_MODE_CHANGE; asset=CRANE03; state=DEGRADED; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,SUSPICIOUS,INC-T21-001
EDR-00757,2026-06-05T22:50:00Z,Endpoint,SUSPICIOUS_PROCESS; process=credential_helper_sim; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
NET-01077,2026-06-05T22:50:00Z,Network,LARGE_OUTBOUND_TRANSFER; device=DEV0099; bytes_out=2034098.0; dst_port=3389.0,Network evidence shows unusual OT/remote-administration connections and/or large outbound transfers from the affected device.,SUSPICIOUS,INC-T21-001
VPN-01188,2026-06-05T22:50:00Z,VPN/IAM,SUCCESS vendor session; MFA=FAILED; zone=GATE-B; new_device=YES,Remote access evidence is inconsistent with the normal baseline because the session is linked to off-hours/new-device or failed-MFA indicators.,SUSPICIOUS,INC-T21-001
CARGO-INC-001,2026-06-05T22:51:00Z,Cargo,MANIFEST_CHANGE; container=CONT-004821; manifest_change=YES; destination=DST-Z,Cargo evidence records a manifest change during the correlated incident window.,INCIDENT,INC-T21-001
OT-00011,2026-06-05T22:51:27Z,OT/SCADA,EMERGENCY_STOP; asset=CRANE03; state=SAFE_STOP; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,SUSPICIOUS,INC-T21-001
EDR-01173,2026-06-05T22:53:00Z,Endpoint,REMOTE_EXECUTION; process=credential_helper_sim; severity=CRITICAL,Endpoint telemetry provides corroborating evidence of unusual remote/administrative tooling on the affected device.,SUSPICIOUS,INC-T21-001
nan,2026-06-05T22:53:00Z,Maintenance notes,"Unusual vendor access, endpoint activity and controller commands occurred in close temporal proximity; incident review initiated.",The contemporaneous note explicitly records cross-source correlation and initiation of incident review.,INCIDENT,INC-T21-001
OT-00367,2026-06-05T22:53:50Z,OT/SCADA,REPEATED_COMMAND; asset=CRANE03; state=SAFE_STOP; sequence_valid=NO,OT evidence shows invalid command sequencing and abnormal/degraded process states on the affected asset.,SUSPICIOUS,INC-T21-001
NET-00080,2026-06-05T22:54:00Z,Network,REMOTE_ADMIN_ACTIVITY; device=DEV0099; bytes_out=5642943.0; dst_port=22.0,Network evidence shows unusual OT/remote-administration connections and/or large outbound transfers from the affected device.,SUSPICIOUS,INC-T21-001
