note_id,timestamp,asset_id,vendor_id,free_text,category,priority,event_label,incident_id
NOTE-00000,2026-06-06T21:52:33Z,PLC07,V013,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00001,2026-06-25T17:06:11Z,CRANE06,V008,Yard controller communication was stable after scheduled maintenance.,INSPECTION,MEDIUM,NORMAL,
NOTE-00002,2026-06-11T21:40:01Z,YARD-08,V018,Manifest destination changed during a period of anomalous vendor activity.,CARGO_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00003,2026-06-21T11:05:16Z,YARD-05,V005,Crane maintenance completed within the approved maintenance window.,INSPECTION,LOW,NORMAL,
NOTE-00004,2026-06-20T23:23:35Z,YARD-05,V005,Operator reported normal crane response during load testing.,OPERATIONS,LOW,NORMAL,
NOTE-00005,2026-06-14T09:32:35Z,CRANE01,V017,Repeated controller commands were observed during a vendor session; operations requested review.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00006,2026-06-01T04:18:30Z,CRANE02,V001,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00007,2026-06-23T03:28:10Z,CRANE03,V008,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00008,2026-06-06T04:12:57Z,PLC01,V002,Manifest destination changed during a period of anomalous vendor activity.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00009,2026-06-14T15:21:39Z,PLC08,V016,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00010,2026-06-05T00:10:05Z,PLC04,V009,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,LOW,NORMAL,
NOTE-00011,2026-06-08T03:07:32Z,CRANE06,V002,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00012,2026-06-30T01:42:48Z,PLC12,V003,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00013,2026-06-15T13:07:04Z,PLC05,V003,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00014,2026-06-07T17:42:40Z,PLC04,V003,Operator reported normal crane response during load testing.,MAINTENANCE,LOW,NORMAL,
NOTE-00015,2026-06-19T10:07:49Z,YARD-08,V012,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00016,2026-06-04T07:32:46Z,CRANE06,V001,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00017,2026-06-26T02:08:31Z,YARD-08,V017,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00018,2026-06-09T12:15:47Z,PLC04,V015,Unexpected vendor remote session observed outside the approved maintenance window.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00019,2026-06-26T06:24:33Z,YARD-03,V005,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00020,2026-06-06T04:33:27Z,PLC09,V014,Crane maintenance completed within the approved maintenance window.,OPERATIONS,LOW,NORMAL,
NOTE-00021,2026-06-25T10:09:15Z,YARD-08,V005,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00022,2026-06-24T09:16:45Z,CRANE07,V005,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,
NOTE-00023,2026-06-19T15:57:08Z,PLC10,V014,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,LOW,NORMAL,
